key,screen,copy,condition,actions,source,decision,proposal,user_verdict,notes,evidence
authored.pausePage.pause---release-mouse,pausePage,Pause,pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.pauseSettingsError,pausePage,Camera settings not saved. Retry in Accessibility.,pausePage; camera preference write failed,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.pauseInputError,pausePage,Controls not saved. Retry in Settings.,pausePage; input preference write failed,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.cameraPage.field-of-view-(vertical),cameraPage,Field of view,cameraPage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/ToolkitCameraSettings.cs,KEEP,Shared row/button components; bottom-left Back provides Back,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.cameraPage.steady-crosshair,cameraPage,Steady crosshair,cameraPage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,Shared row/button components; bottom-left Back provides Back,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.cameraReset,cameraPage,Reset category,cameraPage,Button command: cameraReset,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Shared row/button components; bottom-left Back provides Back,UNREVIEWED,,Source traced; current views in common-settings.md
authored.cameraPage.camera-settings-couldn't-be-saved.-your-changes-still-work-this-session.,cameraPage,Not saved. Active for this session.,cameraPage; camera preference write failed,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Shared row/button components; bottom-left Back provides Back,UNREVIEWED,,Source traced; current views in common-settings.md
authored.settingsRetry,cameraPage,Retry,cameraPage; camera preference write failed,Button command: settingsRetry,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.inputPage.digging-mode,inputPage,Digging mode,inputPage; inside Controls scroll area,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.bindingCancel,inputPage,Cancel,inputPage; binding conflict,Button command: bindingCancel,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.bindingReplace,inputPage,Swap bindings,inputPage; binding conflict,Button command: bindingReplace,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.inputReset,inputPage,Reset category,inputPage,Button command: inputReset,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Shared row/button components; bottom-left Back provides Back,UNREVIEWED,,Source traced; current views in common-settings.md
authored.inputPage.controls-couldn't-be-saved.-your-changes-still-work-this-session.,inputPage,Not saved. Active for this session.,inputPage; input preference write failed,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.inputRetry,inputPage,Retry,inputPage; input preference write failed,Button command: inputRetry,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
settings.categories,Settings,Display | Graphics | Audio | Controls | Accessibility,Shared header; selected category shaded; hidden during display confirmation and disabled during capture,Open category; flush preferences; Back returns to origin,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 123: shared components and immediate settings,UNREVIEWED,,Current views and component rules in design-system.md / common-settings.md
display.window-mode,Settings / Display,"Window mode
Borderless | Fullscreen | Windowed",Change immediately opens standalone Keep/Revert dialog,Mouse arrows / Left / Right; adjust selected value,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
display.resolution,Settings / Display,"Resolution
{width} × {height}",Supported monitor modes/common window sizes; change opens confirmation,Mouse arrows / Left / Right; adjust selected value,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
display.vsync,Settings / Display,"VSync
Off | On",Applied immediately; owns pacing while On,Mouse arrows / Left / Right; adjust selected value,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
display.fps-limit,Settings / Display,"FPS limit
30 | 45 | 60 | 90 | 120 | 144 | 165 | 240 | Unlimited | Automatic",Disabled with arrow hidden while VSync is On,Mouse arrows / Left / Right; adjust selected value,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Built-in DropdownField; reduced contrast while disabled,UNREVIEWED,,Source traced; current views in common-settings.md
display.show-fps,Settings / Display,"Show FPS
Off | On",Optional overlay also visible over menus,Mouse arrows / Left / Right; adjust selected value,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
graphics.scale,Settings / Graphics,,Hidden in 124; Graphics contains only TBD,None,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,User selected empty Graphics page pending review,UNREVIEWED,"Preset selector hidden. New/reset graphics use 150%, MSAA 8x, full textures and forced filtering; explicit saved choices retained.",Current views and component rules in design-system.md / common-settings.md
graphics.aa,Settings / Graphics,,Hidden in 124; Graphics contains only TBD,None,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,User selected empty Graphics page pending review,UNREVIEWED,"Preset selector hidden. New/reset graphics use 150%, MSAA 8x, full textures and forced filtering; explicit saved choices retained.",Source traced; current views in common-settings.md
graphics.textures,Settings / Graphics,,Hidden in 124; Graphics contains only TBD,None,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,User selected empty Graphics page pending review,UNREVIEWED,"Preset selector hidden. New/reset graphics use 150%, MSAA 8x, full textures and forced filtering; explicit saved choices retained.",Source traced; current views in common-settings.md
graphics.filtering,Settings / Graphics,,Hidden in 124; Graphics contains only TBD,None,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,User selected empty Graphics page pending review,UNREVIEWED,"Preset selector hidden. New/reset graphics use 150%, MSAA 8x, full textures and forced filtering; explicit saved choices retained.",Source traced; current views in common-settings.md
audio.volume,Settings / Audio,"Master volume
0–100%",Applies to listener; volume preserved while muted,Adjust value,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
controls.sensitivity,Settings / Controls,"Mouse sensitivity
0.10×–3.00×",Above bindings; disabled during binding capture,Adjust mouse gain/direction,unity/Assets/Runtime/UI/Toolkit/ToolkitInputSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
controls.invert-x,Settings / Controls,"Invert horizontal look
Off | On",Above bindings; disabled during binding capture,Adjust mouse gain/direction,unity/Assets/Runtime/UI/Toolkit/ToolkitInputSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
controls.invert-y,Settings / Controls,"Invert vertical look
Off | On",Above bindings; disabled during binding capture,Adjust mouse gain/direction,unity/Assets/Runtime/UI/Toolkit/ToolkitInputSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
display.confirm,Settings / Display,"Keep display changes?
Reverting in {seconds}s
Revert | Keep changes","Standalone compact dialog, no tabs; 15-second countdown; Revert focused",Keep commits actual display; Revert/Escape/timeout/focus loss restores previous display,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 123: shared components and immediate settings,UNREVIEWED,,Current views and component rules in design-system.md / common-settings.md
settings.device-footer,"Settings / Display, Graphics, Audio",Reset category,Ordinary settings page,Reset only selected category; display defaults open confirmation,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Implemented in 123: shared components and immediate settings,UNREVIEWED,,Current views and component rules in design-system.md / common-settings.md
settings.device-error,"Settings / Display, Graphics, Audio","Not saved. Active for this session.
Retry",Preference write failed,Retry atomic preference write,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
pause.device-error,Pause,Settings not saved. Retry in Settings.,Game preference write failed,Open Settings to retry,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
hud.fps,HUD / menus,{fps} FPS,Show FPS enabled; updates twice per second,Read only,unity/Assets/Runtime/UI/Toolkit/GameHudView.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
pause.dig-description,Pause,Dig / collect / throw | Toggle dig / collect / throw,Current digging mode,Read only; current binding shown beside label,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122,UNREVIEWED,,Source traced; current views in common-settings.md
settings.back,Settings,Back,Bottom-left Settings footer; hidden in dialogs,Return to origin; Escape equivalent,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Shared quiet text button; Escape has same destination,UNREVIEWED,Dropdown closes before Settings exits,Current views in common-settings.md
graphics.tbd,Settings / Graphics,TBD,Graphics category; no controls,Back; other category tabs,unity/Assets/Runtime/UI/Toolkit/ToolkitDeviceSettings.cs,CHANGE,Explicit user request implemented in 124,SELECTED,,common-settings.md
workshop.rows,Workshop,Shovel | Backpack | Fuel tank; {owned}/{levels}; ${cost} | Max,Compact list; hover/focus/click only selects,Select / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame checks; Windows build review pending
workshop.refill.row,Workshop,SERVICE | Refill fuel; ${cost} | $1 min | Full,Refill service row below upgrades,Select / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139; reliable refill in 142; whole $ prices in 143,UNREVIEWED,,MainGame checks; Windows build review pending
workshop.effects,Workshop,"Dig wider, farther, and faster. | Carry more finds per trip. | More fuel for digging and flight.",Selected upgrade right pane only,Select / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame checks; Windows build review pending
workshop.fuel.note,Workshop,Refill sold separately.,Fuel tank capacity details,Select / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame checks; Windows build review pending
workshop.refill.details,Workshop,$1 per 100 fuel. Rounded up. $1 minimum. | {charge} / {capacity} fuel | +{amount} fuel → {after},Selected refill; amount only when purchase available,Select / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139; reliable refill in 142; whole $ prices in 143,UNREVIEWED,,MainGame checks; Windows build review pending
workshop.refill.state,Workshop,Tank full | Need $1. Sell finds to refuel. | Partial refill • uses your remaining balance | ${balance-cost} after refill,Full / empty wallet / partial / affordable full refill,Select / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139; reliable refill in 142; whole $ prices in 143,UNREVIEWED,,MainGame checks; Windows build review pending
workshop.purchase,Workshop,Upgrade / ${cost} | Refill / ${cost} | Max level | Tank full | Need $1,Explicit selected action; disabled when unavailable,Select / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139; reliable refill in 142; whole $ prices in 143,UNREVIEWED,,MainGame checks; Windows build review pending
workshop.refill.feedback,Workshop,+{amount} fuel | -${cost},"Successful refill, refreshed quote and checkpoint",Select / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139; reliable refill in 142; whole $ prices in 143,UNREVIEWED,,MainGame checks; Windows build review pending
